Date,EmployeeID,Category,Amount,Merchant,Description
2023-11-11,EMP082,Meals,976.12,The Night Club,Personal Weekend Dinner
2023-11-11,EMP138,Meals,872.6,The Night Club,Personal Weekend Dinner
2023-11-11,EMP015,Meals,484.12,The Night Club,Personal Weekend Dinner
2023-11-11,EMP150,Meals,197.55,The Night Club,Personal Weekend Dinner
2023-11-11,EMP061,Meals,716.69,The Night Club,Personal Weekend Dinner
2023-11-11,EMP041,Meals,2755.48,The Night Club,Personal Weekend Dinner
2023-11-11,EMP054,Meals,914.48,The Night Club,Personal Weekend Dinner
2023-11-11,EMP081,Meals,3442.43,The Night Club,Personal Weekend Dinner
2023-11-11,EMP021,Meals,2630.97,The Night Club,Personal Weekend Dinner
2023-11-11,EMP105,Meals,421.67,The Night Club,Personal Weekend Dinner
2023-11-11,EMP139,Meals,3149.53,The Night Club,Personal Weekend Dinner
2023-11-11,EMP011,Meals,347.96,The Night Club,Personal Weekend Dinner
2023-11-11,EMP108,Meals,870.32,The Night Club,Personal Weekend Dinner
2023-11-11,EMP044,Meals,356.64,The Night Club,Personal Weekend Dinner
2023-11-11,EMP052,Meals,236.08,The Night Club,Personal Weekend Dinner
2023-11-11,EMP102,Meals,3463.29,The Night Club,Personal Weekend Dinner
2023-11-11,EMP033,Meals,778.48,The Night Club,Personal Weekend Dinner
2023-11-11,EMP065,Meals,1343.85,The Night Club,Personal Weekend Dinner
2023-11-11,EMP114,Meals,421.29,The Night Club,Personal Weekend Dinner
2023-11-11,EMP112,Meals,793.8,The Night Club,Personal Weekend Dinner
2023-11-11,EMP098,Meals,565.3,The Night Club,Personal Weekend Dinner
2023-11-11,EMP023,Meals,321.4,The Night Club,Personal Weekend Dinner
2023-11-11,EMP014,Meals,586.52,The Night Club,Personal Weekend Dinner
2023-11-11,EMP022,Meals,21.45,The Night Club,Personal Weekend Dinner
2023-11-11,EMP051,Meals,2138.55,The Night Club,Personal Weekend Dinner
2023-11-11,EMP088,Meals,1581.77,The Night Club,Personal Weekend Dinner
2023-11-11,EMP135,Meals,2207.77,The Night Club,Personal Weekend Dinner
2023-11-11,EMP127,Meals,3575.72,The Night Club,Personal Weekend Dinner
2023-11-11,EMP117,Meals,2659.67,The Night Club,Personal Weekend Dinner
2023-11-11,EMP084,Meals,519.33,The Night Club,Personal Weekend Dinner
2023-11-11,EMP126,Meals,1047.96,The Night Club,Personal Weekend Dinner
2023-11-11,EMP070,Meals,1286.89,The Night Club,Personal Weekend Dinner
2023-11-11,EMP053,Meals,3027.34,The Night Club,Personal Weekend Dinner
2023-11-11,EMP149,Meals,4373.92,The Night Club,Personal Weekend Dinner
2023-11-11,EMP097,Meals,184.99,The Night Club,Personal Weekend Dinner
2023-11-11,EMP010,Meals,628.04,The Night Club,Personal Weekend Dinner
2023-11-11,EMP150,Meals,733.15,The Night Club,Personal Weekend Dinner
2023-11-11,EMP083,Meals,90.78,The Night Club,Personal Weekend Dinner
2023-11-11,EMP021,Meals,627.48,The Night Club,Personal Weekend Dinner
2023-11-11,EMP018,Meals,175.69,The Night Club,Personal Weekend Dinner
2023-11-11,EMP003,Meals,3140.43,The Night Club,Personal Weekend Dinner
2023-11-11,EMP096,Meals,2822.85,The Night Club,Personal Weekend Dinner
2023-11-11,EMP098,Meals,374.43,The Night Club,Personal Weekend Dinner
2023-11-11,EMP131,Meals,364.69,The Night Club,Personal Weekend Dinner
2023-11-11,EMP024,Meals,344.75,The Night Club,Personal Weekend Dinner
2023-11-11,EMP127,Meals,1258.94,The Night Club,Personal Weekend Dinner
2023-11-11,EMP079,Meals,1029.17,The Night Club,Personal Weekend Dinner
2023-11-11,EMP088,Meals,4616.2,The Night Club,Personal Weekend Dinner
2023-11-11,EMP145,Meals,272.85,The Night Club,Personal Weekend Dinner
2023-11-11,EMP019,Meals,3133.41,The Night Club,Personal Weekend Dinner
2023-11-11,EMP006,Meals,489.37,The Night Club,Personal Weekend Dinner
2023-11-11,EMP107,Meals,31.85,The Night Club,Personal Weekend Dinner
2023-11-11,EMP041,Meals,384.74,The Night Club,Personal Weekend Dinner
2023-11-11,EMP065,Meals,353.68,The Night Club,Personal Weekend Dinner
2023-11-11,EMP065,Meals,171.21,The Night Club,Personal Weekend Dinner
2023-11-11,EMP149,Meals,422.48,The Night Club,Personal Weekend Dinner
2023-11-11,EMP132,Meals,2792.9,The Night Club,Personal Weekend Dinner
2023-11-11,EMP022,Meals,860.5,The Night Club,Personal Weekend Dinner
2023-11-11,EMP023,Meals,127.39,The Night Club,Personal Weekend Dinner
2023-11-11,EMP098,Meals,671.92,The Night Club,Personal Weekend Dinner
2023-11-11,EMP105,Meals,1606.39,The Night Club,Personal Weekend Dinner
2023-11-11,EMP009,Meals,198.38,The Night Club,Personal Weekend Dinner
2023-11-11,EMP141,Meals,241.71,The Night Club,Personal Weekend Dinner
2023-11-11,EMP117,Meals,4880.73,The Night Club,Personal Weekend Dinner
2023-11-11,EMP120,Meals,365.93,The Night Club,Personal Weekend Dinner
2023-11-11,EMP028,Meals,305.35,The Night Club,Personal Weekend Dinner
2023-11-11,EMP050,Meals,2307.73,The Night Club,Personal Weekend Dinner
2023-11-11,EMP111,Meals,1573.69,The Night Club,Personal Weekend Dinner
2023-11-11,EMP029,Meals,2678.94,The Night Club,Personal Weekend Dinner
2023-11-11,EMP055,Meals,630.81,The Night Club,Personal Weekend Dinner
2023-11-11,EMP118,Meals,308.66,The Night Club,Personal Weekend Dinner
2023-11-11,EMP148,Meals,4927.08,The Night Club,Personal Weekend Dinner
2023-11-11,EMP039,Meals,969.57,The Night Club,Personal Weekend Dinner
